None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Tengo,Pignoise,LyricsData/Tengo_Pignoise.txt,None,None,None,None,ImgData/Tengo_Pignoise.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Me Disparas,Pignoise,LyricsData/Me-Disparas_Pignoise.txt,None,None,None,None,ImgData/Me-Disparas_Pignoise.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Volver a Caer,Pignoise,LyricsData/Volver-a-Caer_Pignoise.txt,None,None,None,None,ImgData/Volver-a-Caer_Pignoise.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,A Todos Lados­,Pignoise,LyricsData/A-Todos-Lados­_Pignoise.txt,None,None,None,None,ImgData/A-Todos-Lados­_Pignoise.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Me Quedo Solo,Pignoise,LyricsData/Me-Quedo-Solo_Pignoise.txt,None,None,None,None,ImgData/Me-Quedo-Solo_Pignoise.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,La Eternidad del Corazón,Pignoise,LyricsData/La-Eternidad-del-Corazón_Pignoise.txt,None,None,None,None,ImgData/La-Eternidad-del-Corazón_Pignoise.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Sin Identidad,Pignoise,LyricsData/Sin-Identidad_Pignoise.txt,None,None,None,None,ImgData/Sin-Identidad_Pignoise.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Quiero Darte,Pignoise,LyricsData/Quiero-Darte_Pignoise.txt,None,None,None,None,ImgData/Quiero-Darte_Pignoise.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
Don Philippe,None,None,None,None,DJ Emilio,Max Herre,Afrob,None,None,None,None,None,None,None,None,Schoß der Kolchose,Massive Töne,LyricsData/Schoß-der-Kolchose_Massive-Töne.txt,None,None,None,None,ImgData/Schoß-der-Kolchose_Massive-Töne.jpg,Afrob,None,6,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,R.U.H.R.P.O.T.T.,Snaga & Pillath,LyricsData/R.U.H.R.P.O.T.T._Snaga-&-Pillath.txt,None,None,None,None,ImgData/R.U.H.R.P.O.T.T._Snaga-&-Pillath.jpg,,None,2,None,None,None,None,None,None,None,None,None,None
