Artist,Album,Year,Song,Feature1,Feature2,Feature3,Feature4
Cypress Hill,Greatest Hits from the Bong,2005,Ez Come Ez Go,None,None,None,None
Cypress Hill,Greatest Hits from the Bong,2005,Latin Thugs (Reggaeton mix) (Ft. Tego Calderón),Tego Calderón,None,None,None
Cypress Hill,Los Grandes Éxitos en Español,1999,Yo quiero fumar,None,None,None,None
Cypress Hill,Los Grandes Éxitos en Español,1999,Loco En El Coco,None,None,None,None
Cypress Hill,Los Grandes Éxitos en Español,1999,No Entiendes La Onda,None,None,None,None
Cypress Hill,Los Grandes Éxitos en Español,1999,Dr. Dedoverde (Dr. Greenthumb),None,None,None,None
Cypress Hill,Los Grandes Éxitos en Español,1999,Latino Lingo (Latin Lingo),None,None,None,None
Cypress Hill,Los Grandes Éxitos en Español,1999,Puercos (Pigs),None,None,None,None
Cypress Hill,Los Grandes Éxitos en Español,1999,Marijuano Locos,None,None,None,None
Cypress Hill,Los Grandes Éxitos en Español,1999,Tu No Ajaunta,None,None,None,None
Cypress Hill,Los Grandes Éxitos en Español,1999,Ilusiones,None,None,None,None
Cypress Hill,Los Grandes Éxitos en Español,1999,Muévete,None,None,None,None
Cypress Hill,Los Grandes Éxitos en Español,1999,No Pierdo Nada (Nothin' To Lose) (Ft. Mellow Man Ace),Mellow Man Ace,None,None,None
Cypress Hill,Los Grandes Éxitos en Español,1999,Tequila (Tequila Sunrise),None,None,None,None
Cypress Hill,Los Grandes Éxitos en Español,1999,Tres Equis,None,None,None,None
Cypress Hill,Los Grandes Éxitos en Español,1999,Siempre peligroso (Ft. Fermin IV Caballero of Control Machete),Fermin IV Caballero of Control Machete,None,None,None
Cypress Hill,Los Grandes Éxitos en Español,1999,Marijuano Locos (Stoned Raiders),None,None,None,None
Cypress Hill,Los Grandes Éxitos en Español,1999,Yo Quiero Fumar (I Wanna Get High),None,None,None,None
Cypress Hill,Cypress x Rusko EP,2012,Roll It Light It,None,None,None,None
Cypress Hill,Cypress x Rusko EP,2012,Can't Keep Me Down,None,None,None,None
Cypress Hill,Unreleased & Revamped,1996,Boom Biddy Bye Bye (Fugees Remix) (Ft. Fugees),Fugees,None,None,None
Cypress Hill,Unreleased & Revamped,1996,Throw Your Hands in the Air (Ft. Def Squad & MC Eiht),Def Squad,MC Eiht,None,None
Cypress Hill,Unreleased & Revamped,1996,Intellectual Dons (Ft. Call O' Da Wild),Call O' Da Wild,None,None,None
Cypress Hill,Unreleased & Revamped,1996,Hand on the Pump [Muggs' Blunted Mix],None,None,None,None
